id,Geographic Area Name,Total population,RACE!!One race,RACE!!Two or more races,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE,Total housing units,"Citizen, 18 and over population","Citizen, 18 and over population!!Male","Citizen, 18 and over population!!Female",Male,SEX AND AGE!!Total population!!Female,Under 5 years,5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over
0400000US01,Alabama,4864680,4773061,91619,3317453,1293186,25576,64609,2182,70055,91619,4864680,2244462,3671110,1744440,1926670,2355799,2508881,292125,302174,312093,323914,334416,632660,599382,641069,334011,309004,463057,237339,83436,38.9,1098793,3894696,3765887,3562514,963974,783832
0400000US02,Alaska,738516,676055,62461,478834,24129,106660,46556,8849,11027,62461,738516,315386,530385,279868,250517,385579,352937,54240,52628,49721,47451,56749,118519,92679,93344,50904,43853,53366,18815,6247,34,186138,571528,552378,524006,102823,78428
0400000US04,Arizona,6946685,6693802,252883,5364141,305259,309580,228887,14112,471823,252883,6946685,2970935,4812764,2369281,2443483,3453439,3493246,436102,452832,467267,468197,488355,945811,855220,845263,420490,408828,674235,355536,128549,37.4,1633783,5498826,5312902,5019072,1401390,1158320
0400000US05,Arkansas,2990671,2914819,75852,2302874,460970,20037,43988,7969,78981,75852,2990671,1362040,2195870,1060008,1135862,1468412,1522259,190311,197784,197795,201068,204406,389419,368584,376480,195360,181928,284024,147254,56258,37.9,705943,2364108,2284728,2159029,594654,487536
0400000US06,California,39148760,37266533,1882227,23529068,2267875,296475,5604339,153366,5415410,1882227,39148760,14084824,25232634,12373879,12858755,19453769,19694991,2480679,2499319,2556669,2583578,2809630,5904012,5185165,5155853,2465921,2192477,3061431,1552456,701570,36.3,9073655,31109195,30075105,28455836,6571629,5315457
0400000US08,Colorado,5531141,5333813,197328,4655584,227938,54483,172695,8296,214817,197328,5531141,2352202,3979325,1983013,1996312,2780831,2750310,335199,355399,359334,354630,377987,849157,749277,715354,363001,331165,455831,201744,83063,36.6,1259819,4409148,4271322,4052952,931643,740638
0400000US09,Connecticut,3581504,3468074,113430,2734880,378262,9698,158817,1173,185244,113430,3581504,1512305,2600979,1243781,1357198,1747131,1834373,184983,201006,224135,247182,245490,439848,427023,522138,266170,235949,327414,170979,89187,40.8,752625,2924591,2828879,2672647,722394,587580
0400000US10,Delaware,949495,923486,26009,654905,209892,3455,36723,477,18034,26009,949495,428251,704108,334936,369172,459570,489925,54854,55166,58676,59798,61022,126358,110238,126453,68175,61626,99666,49025,18438,40.2,203426,769793,746069,707381,203286,167129
0400000US11,District of Columbia,684498,664355,20143,280469,321317,1993,26718,340,33518,20143,684498,311545,511190,237685,273505,324881,359617,44692,33728,27563,37417,54117,159716,99176,76460,36453,33464,46920,23836,10956,33.9,121737,573275,562761,529478,101225,81712
0400000US12,Florida,20598139,20055799,542340,15529098,3316376,58118,559168,12887,580152,542340,20598139,9348689,14724113,7079197,7644916,10071925,10526214,1117420,1131739,1176979,1201106,1284168,2665948,2493759,2748837,1399430,1314377,2247594,1280841,535941,41.9,4148552,16932309,16449587,15699432,4834602,4064376
0400000US13,Georgia,10297484,10045036,252448,6079976,3239300,33484,402501,6095,283680,252448,10297484,4241003,7254693,3454381,3800312,5012229,5285255,655810,697132,718143,721206,718646,1419784,1372551,1407255,656064,578604,835224,383686,133379,36.5,2501295,8082220,7796189,7352197,1682816,1352289
0400000US15,Hawaii,1422029,1080273,341756,355612,26266,2987,536842,143274,15292,341756,1422029,539053,1016556,515668,500888,713772,708257,90388,85114,83667,77674,96819,205135,177944,176625,92789,89919,139078,68144,38733,38.9,306501,1147445,1115528,1066961,298263,245955
0400000US16,Idaho,1687809,1641217,46592,1527262,11536,22790,23758,2761,53110,46592,1687809,711731,1192742,592051,600691,845564,842245,114164,123365,126996,120633,113385,220206,209204,199059,105507,101489,153600,72416,27785,36.1,439176,1298537,1248633,1178376,313302,253801
0400000US17,Illinois,12821497,12503084,318413,9189185,1824125,31864,690822,4582,762506,318413,12821497,5347268,9055187,4366368,4688819,6295915,6525582,776957,802346,836956,847578,875317,1779301,1652053,1706539,868764,780783,1079625,561726,253552,37.9,2926561,10234674,9894936,9382507,2342824,1894903
0400000US18,Indiana,6637426,6475131,162295,5548277,619472,14925,144991,2818,144648,162295,6637426,2870670,4876218,2365930,2510288,3271068,3366358,418299,437254,446006,458348,477704,856932,821714,864555,448932,411619,577695,291994,126374,37.6,1574293,5243518,5063133,4776538,1235406,996063
0400000US19,Iowa,3132499,3066729,65770,2827889,109911,11549,75083,3129,39168,65770,3132499,1386722,2312666,1133132,1179534,1554481,1578018,197430,204026,206158,214740,228772,393533,371017,389588,213388,200535,279689,156706,76917,38.1,730032,2484354,2402467,2261495,629949,513312
0400000US20,Kansas,2908776,2807732,101044,2460619,169801,24050,83531,2143,67588,101044,2908776,1266378,2077566,1022173,1055393,1449413,1459363,194202,201400,200793,200544,217162,383220,350391,353237,192663,177387,245020,130787,61970,36.5,715545,2272565,2193231,2066416,542130,437777
0400000US21,Kentucky,4440204,4340378,99826,3866676,354112,9888,62802,2814,44086,99826,4440204,1974406,3338198,1617776,1720422,2186715,2253489,274440,280088,284645,290396,306631,574635,554481,594104,309964,279311,411700,202345,77464,38.7,1012019,3542792,3428185,3244579,853857,691509
0400000US22,Louisiana,4663616,4572053,91563,2901106,1502916,26272,79872,1468,60419,91563,4663616,2045554,3452767,1657936,1794831,2279968,2383648,309339,309094,306416,301500,329326,669892,576197,586706,310932,287507,402615,198533,75559,36.6,1108474,3677980,3555142,3366671,842811,676707
0400000US23,Maine,1332813,1303605,29208,1259217,17881,8302,14917,318,2970,29208,1332813,739077,1059542,513218,546324,652299,680514,64437,70701,72678,79747,77353,155846,152717,190734,108271,101153,152428,73415,33333,44.6,254661,1109357,1078152,1029194,317888,259176
0400000US24,Maryland,6003435,5804066,199369,3373181,1788090,15644,374277,3059,249815,199369,6003435,2437740,4262388,2024524,2237864,2910323,3093112,366174,372643,375912,384501,389347,828071,766281,851925,421695,371549,513610,253229,108498,38.6,1344177,4809210,4659258,4426033,1092077,875337
0400000US25,Massachusetts,6830193,6614700,215493,5360006,510558,14493,442574,2329,284740,215493,6830193,2882739,4964686,2363759,2600927,3313979,3516214,362681,369390,397457,459381,492489,963642,834706,956776,481780,433667,611755,311380,155089,39.4,1379897,5619991,5450296,5138915,1329564,1078224
0400000US26,Michigan,9957488,9673770,283718,7818588,1375424,53235,304403,2979,119141,283718,9957488,4580939,7472668,3626486,3846182,4899118,5058370,572374,596594,630042,669114,717149,1245849,1170300,1345271,722076,667775,943253,471583,206108,39.7,2196098,8027949,7761390,7340535,2007356,1620944
0400000US27,Minnesota,5527358,5369591,157767,4606044,342186,58982,262359,2187,97833,157767,5527358,2420473,4037295,1987792,2049503,2751748,2775610,351740,363928,361496,356498,361934,752944,685568,725714,393455,343969,470691,243085,116336,37.9,1291607,4379008,4235751,4020447,1031849,830112
0400000US28,Mississippi,2988762,2948569,40193,1751193,1125834,13689,28313,707,28833,40193,2988762,1316108,2228659,1059562,1169097,1450379,1538383,188575,200574,207354,212886,212059,388763,370914,378273,197536,182350,265521,135296,48661,37.2,720308,2350291,2268454,2132661,555305,449478
0400000US29,Missouri,6090062,5934734,155328,5008342,704896,26952,116720,6662,71162,155328,6090062,2775635,4585994,2218186,2367808,2988772,3101290,372932,381583,392635,396819,421255,809024,733520,787960,425339,387303,561486,295894,124312,38.5,1385063,4864065,4704999,4457574,1207195,981692
0400000US30,Montana,1041732,1012297,29435,925642,4630,67289,7947,757,6032,29435,1041732,505685,804263,402618,401645,524220,517512,61810,63541,64227,64452,73435,131959,120909,125902,75255,76419,109771,52951,21101,39.8,227592,838808,814140,772478,228755,183823
0400000US31,Nebraska,1904760,1856160,48600,1666463,90860,17282,44105,1392,36058,48600,1904760,830749,1358786,668188,690598,949910,954850,131812,132290,131959,129350,136886,254377,232659,229048,125370,114929,159053,85697,41330,36.4,472518,1483161,1432242,1351136,352210,286080
0400000US32,Nevada,2922849,2782350,140499,1935103,261123,35845,234693,19352,296234,140499,2922849,1235096,1973652,986875,986777,1467165,1455684,182311,188965,190632,177213,182278,424495,389966,388646,186207,174085,273123,125259,39669,37.9,674476,2322826,2248373,2146801,540196,438051
0400000US33,New Hampshire,1343622,1315732,27890,1250014,20516,2090,36124,359,6629,27890,1343622,630955,1048201,514202,533999,664983,678639,64079,72003,76609,88652,90164,161541,155671,200920,110487,95512,135715,62907,29362,42.7,262563,1114817,1081059,1023461,282647,227984
0400000US34,New Jersey,8881845,8650896,230949,6031747,1196764,18649,832403,3357,567976,230949,8881845,3605401,6117615,2931149,3186466,4335930,4545915,521684,540335,562668,565170,562446,1135665,1143224,1286245,636206,551339,772545,406646,197672,39.8,1973402,7142175,6908443,6581451,1690853,1376863
0400000US35,New Mexico,2092434,2024926,67508,1558886,43006,199896,31513,1514,190111,67508,2092434,932818,1485490,726370,759120,1035850,1056584,128357,137860,143893,140188,147856,280659,247254,252403,139817,132632,202928,101037,37550,37.5,494164,1655769,1598270,1512521,419155,341515
0400000US36,New York,19618453,19019270,599183,12514949,3068099,79644,1630341,8017,1718220,599183,19618453,8287087,13686685,6508410,7178275,9519555,10098898,1163606,1121174,1146521,1224760,1356050,2860842,2446070,2675646,1342368,1212727,1719566,910812,438311,38.7,4141633,15951997,15476820,14687349,3759640,3068689
0400000US37,North Carolina,10155624,9892323,263301,6994240,2179622,121352,282264,6939,307906,263301,10155624,4573066,7413181,3535761,3877420,4944759,5210865,603193,635346,658696,676295,700320,1339485,1299245,1376634,676977,618435,941889,458679,170430,38.6,2292616,8124899,7863008,7434103,1932057,1570998
0400000US38,North Dakota,752201,733895,18306,655268,20445,39462,10814,378,7528,18306,752201,367684,562632,288488,274144,386183,366018,52820,50637,44289,47651,66571,113506,85901,85986,49869,45061,58728,33322,17860,35.1,173718,595742,578483,544277,136204,109910
0400000US39,Ohio,11641879,11314790,327089,9489832,1438271,23563,249741,3591,109792,327089,11641879,5188270,8797915,4246913,4551002,5703967,5937912,695933,713523,747709,772199,775430,1505481,1393553,1544429,834920,765841,1080641,560148,252072,39.3,2618168,9332790,9023711,8550910,2335148,1892861
0400000US40,Oklahoma,3918137,3615027,303110,2837772,287959,294676,83392,4471,106757,303110,3918137,1723230,2819168,1373878,1445290,1941576,1976561,263992,267805,269193,262995,280151,541781,481374,475698,255043,230875,341463,179516,68251,36.4,958706,3063396,2959431,2792558,723910,589230
0400000US41,Oregon,4081943,3888283,193660,3445933,77789,46961,174510,16006,127084,193660,4081943,1750539,3002261,1468213,1534048,2023021,2058922,231927,242619,245569,246092,265043,572453,537769,514110,266912,276903,411976,187308,83262,39.2,868178,3313374,3213765,3061057,847620,682546
0400000US42,Pennsylvania,12791181,12480301,310880,10341442,1423319,24847,427892,4107,258694,310880,12791181,5673599,9748290,4704571,5043719,6263189,6527992,709250,727174,764823,826326,842245,1667748,1495222,1731294,934674,862564,1236019,669591,324251,40.7,2675330,10432506,10115851,9587307,2727948,2229861
0400000US44,Rhode Island,1056611,1023902,32709,854502,69254,5484,35663,863,58136,32709,1056611,467412,789062,375095,413967,513332,543279,54587,57535,58943,73378,78980,142877,123411,146645,76732,69313,96800,50433,26977,39.9,208869,873369,847742,794411,214093,174210
0400000US45,South Carolina,4955925,4845717,110208,3332986,1339360,16686,75084,3004,78597,110208,4955925,2256951,3731348,1777365,1953983,2405726,2550199,290090,307410,312273,323640,337510,649462,603276,647833,334313,321035,510667,233843,84573,39.2,1096251,3985183,3859674,3651466,1016378,829083
0400000US46,South Dakota,864289,841200,23089,730062,16241,75331,12660,293,6613,23089,864289,387637,635405,317360,318045,435761,428528,60407,59990,59016,57056,60737,114289,99603,101703,59203,55477,76582,39962,20264,36.8,213066,673638,651223,615358,169929,136808
0400000US47,Tennessee,6651089,6508955,142134,5166231,1117489,17848,112915,3806,90666,142134,6651089,2930530,4964909,2376945,2587964,3243678,3407411,403591,412789,427445,424822,451736,893011,838176,890255,448270,415781,625727,306901,112585,38.7,1501394,5321857,5149695,4889932,1289180,1045213
0400000US48,Texas,27885195,27154696,730499,20720689,3365783,136061,1308257,23672,1600234,730499,27885195,10769900,17859496,8719463,9140033,13849775,14035420,1998869,2028151,2057414,1987192,1998210,4094297,3767582,3511040,1658878,1445748,2000715,971168,365931,34.4,7292686,21394120,20592509,19396905,4169101,3337814
0400000US49,Utah,3045350,2955471,89879,2632056,35862,32657,69810,27096,157990,89879,3045350,1066131,1982911,987354,995557,1532768,1512582,252865,261429,257411,237276,254304,449812,410463,312534,149349,139638,190544,94676,35049,30.7,919049,2224253,2126301,1991680,401555,320269
0400000US50,Vermont,624977,612899,12078,589546,8058,2106,10579,184,2426,12078,624977,333013,494674,241498,253176,307973,317004,29676,32524,33950,43222,45910,72814,70550,86301,49272,47208,68256,31606,13688,42.9,118346,521723,506631,474963,140824,113550
0400000US51,Virginia,8413774,8104561,309213,5722660,1613285,22972,531503,5677,208464,309213,8413774,3491091,6096244,2962821,3133423,4138574,4275200,509955,519276,522823,547867,583501,1170461,1096278,1157090,567471,508806,732740,354161,143345,38.1,1867427,6756219,6546347,6192849,1521893,1230246
0400000US53,Washington,7294336,6877541,416795,5545997,269854,95048,607429,48043,311170,416795,7294336,3064381,5173974,2560532,2613442,3645665,3648671,453008,462578,447295,444352,485160,1086195,956356,944254,487173,454466,650487,294553,128459,37.6,1632875,5843155,5661461,5390153,1339510,1073499
0400000US54,West Virginia,1829054,1796915,32139,1704345,66728,3668,14534,350,7290,32139,1829054,890715,1442035,705428,736607,904196,924858,99291,102100,107044,110333,118202,216248,222762,242752,132236,133367,202712,101860,40147,42.4,373373,1499244,1455681,1384760,424013,344719
0400000US55,Wisconsin,5778394,5642404,135990,4945966,368744,50422,159356,1975,115941,135990,5778394,2681232,4347413,2135695,2211718,2872376,2906018,335920,357753,370491,381105,402236,729904,694344,777676,424779,379491,527368,271312,126015,39.3,1288943,4639447,4489451,4251072,1144838,924695
0400000US56,Wyoming,581836,566257,15579,532008,5540,14053,4756,539,9361,15579,581836,274985,432284,220150,212134,296979,284857,37270,39680,38940,36734,39921,80389,71531,68957,40523,40114,52876,25287,9614,37.3,137719,458979,444117,420097,110819,87777
0400000US72,Puerto Rico,3386941,3211475,175466,2283720,365010,8504,6684,303,547254,175466,3386941,1563159,2653585,1239621,1413964,1612865,1774076,157638,185956,207704,230407,240838,422052,424657,445694,217688,213684,359600,205468,75555,40.9,687945,2793000,2698996,2552663,766277,640623
